"","uriProposicao","siglaTipo","numero","ano","codTema","tema","relevancia"
"1232","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268889","PL",178,2021,37,"Comunicações",0
"1233","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268889","PL",178,2021,67,"Direito e Defesa do Consumidor",0
"1234","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268889","PL",178,2021,66,"Indústria, Comércio e Serviços",0
"1235","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270928","RIC",178,2021,56,"Saúde",0
"1236","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270766","INC",179,2021,44,"Direitos Humanos e Minorias",0
"1237","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270766","INC",179,2021,70,"Finanças Públicas e Orçamento",0
"1238","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270766","INC",179,2021,58,"Trabalho e Emprego",0
"1239","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268890","PL",179,2021,70,"Finanças Públicas e Orçamento",0
"1240","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268890","PL",179,2021,56,"Saúde",0
"1241","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270929","RIC",179,2021,52,"Previdência e Assistência Social",0
"1242","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270767","INC",180,2021,44,"Direitos Humanos e Minorias",0
"1243","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270767","INC",180,2021,70,"Finanças Públicas e Orçamento",0
"1244","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270767","INC",180,2021,58,"Trabalho e Emprego",0
"1245","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268891","PL",180,2021,55,"Relações Internacionais e Comércio Exterior",0
"1246","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270935","RIC",180,2021,56,"Saúde",0
"1247","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270768","INC",181,2021,44,"Direitos Humanos e Minorias",0
"1248","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270768","INC",181,2021,70,"Finanças Públicas e Orçamento",0
"1249","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270768","INC",181,2021,58,"Trabalho e Emprego",0
"1250","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268892","PL",181,2021,61,"Viação, Transporte e Mobilidade",0
"1251","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270937","RIC",181,2021,55,"Relações Internacionais e Comércio Exterior",0
"1252","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270769","INC",182,2021,44,"Direitos Humanos e Minorias",0
"1253","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270769","INC",182,2021,70,"Finanças Públicas e Orçamento",0
"1254","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270769","INC",182,2021,58,"Trabalho e Emprego",0
"1255","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268893","PL",182,2021,61,"Viação, Transporte e Mobilidade",0
"1256","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270938","RIC",182,2021,52,"Previdência e Assistência Social",0
"1257","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270770","INC",183,2021,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
"1258","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268894","PL",183,2021,61,"Viação, Transporte e Mobilidade",0
"1259","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270965","RIC",183,2021,48,"Meio Ambiente e Desenvolvimento Sustentável",0
"1260","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270773","INC",184,2021,57,"Defesa e Segurança",0
"1261","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270773","INC",184,2021,44,"Direitos Humanos e Minorias",0
"1262","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270773","INC",184,2021,70,"Finanças Públicas e Orçamento",0
"1263","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268895","PL",184,2021,52,"Previdência e Assistência Social",0
"1264","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270973","RIC",184,2021,54,"Energia, Recursos Hídricos e Minerais",0
"1265","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270973","RIC",184,2021,70,"Finanças Públicas e Orçamento",0
"1266","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270779","INC",185,2021,44,"Direitos Humanos e Minorias",0
"1267","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270779","INC",185,2021,56,"Saúde",0
"1268","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268896","PL",185,2021,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
"1269","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270974","RIC",185,2021,52,"Previdência e Assistência Social",0
"1270","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270791","INC",186,2021,44,"Direitos Humanos e Minorias",0
"1271","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270791","INC",186,2021,61,"Viação, Transporte e Mobilidade",0
"1272","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268897","PL",186,2021,57,"Defesa e Segurança",0
"1273","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268897","PL",186,2021,48,"Meio Ambiente e Desenvolvimento Sustentável",0
"1274","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268897","PL",186,2021,61,"Viação, Transporte e Mobilidade",0
"1275","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270999","RIC",186,2021,70,"Finanças Públicas e Orçamento",0
"1276","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270999","RIC",186,2021,56,"Saúde",0
"1277","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270803","INC",187,2021,44,"Direitos Humanos e Minorias",0
"1278","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270803","INC",187,2021,56,"Saúde",0
"1279","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268898","PL",187,2021,58,"Trabalho e Emprego",0
"1280","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271016","RIC",187,2021,44,"Direitos Humanos e Minorias",0
"1281","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271016","RIC",187,2021,56,"Saúde",0
"1282","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270807","INC",188,2021,62,"Ciência, Tecnologia e Inovação",0
"1283","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270807","INC",188,2021,37,"Comunicações",0
"1284","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268899","PL",188,2021,44,"Direitos Humanos e Minorias",0
"1285","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271019","RIC",188,2021,54,"Energia, Recursos Hídricos e Minerais",0
"1286","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270837","INC",189,2021,34,"Administração Pública",0
"1287","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270837","INC",189,2021,56,"Saúde",0
"1288","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268900","PL",189,2021,54,"Energia, Recursos Hídricos e Minerais",0
"1289","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271020","RIC",189,2021,44,"Direitos Humanos e Minorias",0
"1290","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271020","RIC",189,2021,54,"Energia, Recursos Hídricos e Minerais",0
"1291","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270838","INC",190,2021,37,"Comunicações",0
"1292","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270838","INC",190,2021,56,"Saúde",0
"1293","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268901","PL",190,2021,40,"Economia",0
"1294","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268901","PL",190,2021,66,"Indústria, Comércio e Serviços",0
"1295","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271021","RIC",190,2021,44,"Direitos Humanos e Minorias",0
"1296","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271021","RIC",190,2021,54,"Energia, Recursos Hídricos e Minerais",0
"1297","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270840","INC",191,2021,56,"Saúde",0
"1298","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268921","PL",191,2021,37,"Comunicações",0
"1299","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268921","PL",191,2021,67,"Direito e Defesa do Consumidor",0
"1300","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271027","RIC",191,2021,56,"Saúde",0
"1301","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270865","INC",192,2021,64,"Agricultura, Pecuária, Pesca e Extrativismo",0
"1302","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268922","PL",192,2021,56,"Saúde",0
"1303","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271035","RIC",192,2021,66,"Indústria, Comércio e Serviços",0
"1304","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270881","INC",193,2021,55,"Relações Internacionais e Comércio Exterior",0
"1305","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268931","PL",193,2021,72,"Homenagens e Datas Comemorativas",0
"1306","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271036","RIC",193,2021,40,"Economia",0
"1307","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271036","RIC",193,2021,66,"Indústria, Comércio e Serviços",0
"1308","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270883","INC",194,2021,44,"Direitos Humanos e Minorias",0
"1309","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270883","INC",194,2021,56,"Saúde",0
"1310","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271040","RIC",194,2021,70,"Finanças Públicas e Orçamento",0
"1311","https://dadosabertos.camara.leg.br/api/v2/proposicoes/2271040","RIC",194,2021,56,"Saúde",0
