"","id","uri","data","dataHoraRegistro","idOrgao","uriOrgao","siglaOrgao","idEvento","uriEvento","aprovacao","votosSim","votosNao","votosOutros","descricao","ultimaAberturaVotacao_dataHoraRegistro","ultimaAberturaVotacao_descricao","ultimaApresentacaoProposicao_dataHoraRegistro","ultimaApresentacaoProposicao_descricao","ultimaApresentacaoProposicao_idProposicao","ultimaApresentacaoProposicao_uriProposicao"
"104","2270800-68","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270800-68",2021-02-25,2021-02-25 20:16:45,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60432,"https://dadosabertos.camara.leg.br/api/v2/eventos/60432",0,150,311,3,"Rejeitado o Requerimento. Sim: 150; não: 311; abstenção: 2; total: 463.",NA,NA,2021-02-25 17:18:06,"Parecer proferido em Plenário pela Relatora, Dep. Margarete Coelho (PP-PI), pela Comissão Especial, que conclui pela aprovação da Proposta de Emenda à Constituição nº 3, de 2021, nos termos do Substitutivo apresentado.",2270957,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270957"
"105","2270800-71","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270800-71",2021-02-25,2021-02-25 21:01:11,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60432,"https://dadosabertos.camara.leg.br/api/v2/eventos/60432",1,310,127,6,"Aprovado o Requerimento. Sim: 310; não: 127; abstenção: 5; total: 442.",2021-02-25 20:36:12,"Votação do Requerimento do Bloco Parlamentar PSL, PL, PP, PSD, REPUBLICANOS, PTB, PROS, PODE, PSC, AVANTE, PATRIOTA, que solicita a votação em globo da admissibilidade dos destaques simples.",2021-02-25 17:18:06,"Parecer proferido em Plenário pela Relatora, Dep. Margarete Coelho (PP-PI), pela Comissão Especial, que conclui pela aprovação da Proposta de Emenda à Constituição nº 3, de 2021, nos termos do Substitutivo apresentado.",2270957,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270957"
"106","2270800-75","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270800-75",2021-02-25,2021-02-25 22:20:44,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60432,"https://dadosabertos.camara.leg.br/api/v2/eventos/60432",0,0,0,0,"Rejeitada a admissibilidade dos destaques simples: Sim: 146; não: 319; abstenção: 4; total; 469.",2021-02-25 21:01:19,"Votação, em globo, da admissibilidade dos destaques simples.",2021-02-25 17:18:06,"Parecer proferido em Plenário pela Relatora, Dep. Margarete Coelho (PP-PI), pela Comissão Especial, que conclui pela aprovação da Proposta de Emenda à Constituição nº 3, de 2021, nos termos do Substitutivo apresentado.",2270957,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270957"
"107","2270696-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270696-2",2021-02-24,2021-02-24 11:45:25,538891,"https://dadosabertos.camara.leg.br/api/v2/orgaos/538891","GT5G",60322,"https://dadosabertos.camara.leg.br/api/v2/eventos/60322",1,0,0,0,"Aprovado.",NA,NA,NA,"Apresentação do Requerimento de Audiência Pública n. 2/2021, pela Deputada Perpétua Almeida (PCdoB-AC), que: ""Requer a realização de Audiência Pública com o tema 'Apresentação da tecnologia 5G pelos principais fornecedores, funcionalidades, aspectos mercadológicos e de segurança cibernética', com os seguintes convidados: Huawei; Ericsson; Samsung; Nokia; Fujitsu"".",0,NA
"108","2270699-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270699-2",2021-02-24,2021-02-24 11:46:27,538891,"https://dadosabertos.camara.leg.br/api/v2/orgaos/538891","GT5G",60322,"https://dadosabertos.camara.leg.br/api/v2/eventos/60322",1,0,0,0,"Aprovado.",NA,NA,NA,"Apresentação do Requerimento n. 3/2021, pela Deputada Perpétua Almeida (PCdoB/AC), que ""Requer a realização de Audiência Pública com o tema  'Impactos geopolíticos nas relações entre Brasil e no processo de construção das redes 5G no mercado brasileiro', com os seguintes convidados: Embaixador Luis Augusto de Castro Neves (CEBRI); Diplomata Tatiana Rosito; Professor Jorge Almeida (UFBA); Professor André Roberto Martin (USP); Presidente da FPA, deputado Sérgio Souza; Especialista em geotecnologia, Clarise Brown (Eurasia)"".",0,NA
"109","2270706-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270706-2",2021-02-24,2021-02-24 11:46:54,538891,"https://dadosabertos.camara.leg.br/api/v2/orgaos/538891","GT5G",60322,"https://dadosabertos.camara.leg.br/api/v2/eventos/60322",1,0,0,0,"Aprovado.",NA,NA,NA,"Apresentação do Requerimento n. 4/2021, pela Deputada Perpétua Almeida (PCdoB/AC), que ""Requer a realização de Audiência Pública com o Excelentíssimo Ministro das Comunicações, Senhor Fábio Faria"".",0,NA
"110","2270709-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270709-2",2021-02-24,2021-02-24 11:48:10,538891,"https://dadosabertos.camara.leg.br/api/v2/orgaos/538891","GT5G",60322,"https://dadosabertos.camara.leg.br/api/v2/eventos/60322",1,0,0,0,"Aprovado.",NA,NA,NA,"Apresentação do Requerimento n. 5/2021, pela Deputada Perpétua Almeida (PCdoB/AC), que "" Requer a realização de Audiência Pública com o tema 'O posicionamento da academia sobre a tecnologia 5G', com os seguintes convidados: 
Escola Politécnica da USP: Marcelo Zuffo - professor livredocente do departamento de engenharia de sistemas eletrônicos da Escola Politécnicada USP e membro do Instituto de Engenheiros Eletricistas e Eletrônicos (IEEE); ABIPTI - Associação Brasileira das Instituições de PesquisaTecnológica e Inovação; Inatel - sobre segurança da tecnologia 5G; Fabro Steibel (ITS); Prof. Allan Kardec Dualibe (Dpto Engenharia - UFMA)"".",0,NA
"111","2270710-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270710-2",2021-02-24,2021-02-24 11:52:40,538891,"https://dadosabertos.camara.leg.br/api/v2/orgaos/538891","GT5G",60322,"https://dadosabertos.camara.leg.br/api/v2/eventos/60322",1,0,0,0,"Aprovado",NA,NA,NA,"Apresentação do Requerimento de Audiência Pública n. 6/2021, pela Deputada Perpétua Almeida (PCdoB-AC), que: ""Requer a realização de Audiência Pública com o tema 'Tecnologia 5G aplicada (agronegócio, cidades inteligentes)', com os seguintes convidados: ABDI - Agência Brasileira de Desenvolvimento Industrial - Redes 5G Privadas: Igor Calvet; ABINEE - Associação Brasileira da Indústria Eletroeletrônica, Humberto Barbato; Representante CNA"".",0,NA
"112","2270711-2","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270711-2",2021-02-24,2021-02-24 11:52:53,538891,"https://dadosabertos.camara.leg.br/api/v2/orgaos/538891","GT5G",60322,"https://dadosabertos.camara.leg.br/api/v2/eventos/60322",1,0,0,0,"Aprovado.",NA,NA,NA,"Apresentação do Requerimento de Audiência Pública n. 7/2021, pela Deputada Perpétua Almeida (PCdoB-AC), que: ""Requer a realização de Audiência Pública com o tema 'Custo econômico, escolhas tecnológicas e impactos sobre operadoras e consumidores', com os seguintes convidados:  Cláudia Viegas, Consultoria LCA; Raúl Katz e Sebastián Cabello, por terem assinado relatório da Telecom Advisory Services sobre impactos do 5G na economia latino-americana; Marcio Kanamaru, sócio-líder de Tecnologia, Mídia e
Telecomunicações da KPMG.
"".",0,NA
"113","2270800-21","https://dadosabertos.camara.leg.br/api/v2/votacoes/2270800-21",2021-02-24,2021-02-24 19:52:12,180,"https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN",60429,"https://dadosabertos.camara.leg.br/api/v2/eventos/60429",0,114,373,3,"Rejeitado o Requerimento. Sim: 114; não: 373; abstenção: 2; total: 489.",NA,NA,NA,"Apresentação do Requerimento n. 271/2021, pela Deputada Adriana Ventura (NOVO/SP), que ""Requer, com base nos termos regimentais, a tramitação conjunta da PEC 3/2021 à PEC 333/2017, por tratarem de matérias correlatas"".",2270824,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2270824"
