id_parlamentar;id_parlamentar_parlametria;casa;legislatura;nome;partido;uf;situacao;em_exercicio;governismo;disciplina;partido_disciplina;partido_atual;votos_validos;num_seguiu;bancada_suficiente;;;;;;;;;;
204495;1204495;camara;56;Airton Faleiro;PT;PA;Titular;1;-5,139610817;0,904572565;PT;PT;503;455;VERDADEIRO;;;;;;;;;;
73604;173604;camara;51;Rui Falcão;PT;SP;Titular;1;-5,080705404;0,939508507;PT;PT;529;497;VERDADEIRO;;;;;;;;;;
141335;1141335;camara;52;Beto Faro;PT;PA;Titular;1;-5,022914337;0,953358209;PT;PT;536;511;VERDADEIRO;;;;;;;;;;
74400;174400;camara;52;Paulo Pimenta;PT;RS;Titular;1;-5,003803916;0,942643392;PT;PT;401;378;VERDADEIRO;;;;;;;;;;
157130;1157130;camara;56;Túlio Gadêlha;PDT;PE;Titular;1;-3,084707714;0,800804829;PDT;PDT;497;398;VERDADEIRO;;;;;;;;;;
74283;174283;camara;52;Vicentinho;PT;SP;Titular;1;-4,978703072;0,944337812;PT;PT;521;492;VERDADEIRO;;;;;;;;;;
141398;1141398;camara;53;Carlos Zarattini;PT;SP;Titular;1;-4,910846485;0,943310658;PT;PT;441;416;VERDADEIRO;;;;;;;;;;
204428;1204428;camara;56;Marília Arraes;PT;PE;Titular;1;-4,764997407;0,946386946;PT;PT;429;406;VERDADEIRO;;;;;;;;;;
5411;25411;senado;56;Weverton;PDT;MA;Titular;1;-4,748152586;0,796875;PDT;PDT;64;51;VERDADEIRO;;;;;;;;;;
178970;1178970;camara;55;João Daniel;PT;SE;Titular;1;-4,725263137;0,944337812;PT;PT;521;492;VERDADEIRO;;;;;;;;;;
188097;1188097;camara;55;Merlong Solano;PT;PI;Efetivado;1;-4,71543331;0,931174089;PT;PT;247;230;VERDADEIRO;;;;;;;;;;
92172;192172;camara;56;Milton Coelho;PSB;PE;Efetivado;1;-4,701651541;0,823529412;PSB;PSB;51;42;VERDADEIRO;;;;;;;;;;
141470;1141470;camara;53;José Guimarães;PT;CE;Titular;1;-4,65301029;0,934156379;PT;PT;486;454;VERDADEIRO;;;;;;;;;;
