"","id","uri","sigla","nome","apelido","codTipoOrgao","tipoOrgao","nomePublicacao"
"1039",100667,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100667","MPV44208","Dispõe sobre operações de redesconto pelo Banco Central do Brasil e autoriza a emissão da Letra de Arrendamento Mercantil - LAM, e dá outras providências","MPV44208",9,"Comissão Medida Provisória","MPV44208"
"1040",100668,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100668","SSBH","Sociedade dos Surdos de Belo Horizonte","",70000,"Sociedade Civil",""
"1041",100669,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100669","ACEL","Associação Nacional das Operadoras de Celulares","",70000,"Sociedade Civil",""
"1042",100670,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100670","RBA","Fundação Osny José Gonçalves- Rede Bela Aliança de Televisão","",70000,"Sociedade Civil",""
"1043",100671,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100671","ABRAFIX","Associação Brasileira de Concessionárias de Serviço Telefônico Fixo Comutado","",70000,"Sociedade Civil",""
"1044",100672,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100672","ANASP","Associação Nacional dos Servidores do Patrimônio da União","",70000,"Sociedade Civil",""
"1045",100674,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100674","APAE","Associação de Pais e Amigos dos Excepcionais- Patrocínio","",70000,"Sociedade Civil",""
"1046",100675,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100675","APAE","Associação de Pais e Amigos dos Excepcionais- Bom Despacho","",70000,"Sociedade Civil",""
"1047",100676,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100676","MDS","Ministério do Desenvolvimento Social","",70000,"Sociedade Civil",""
"1048",100677,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100677","MPV44308","Autoriza o Banco do Brasil S.A. e a Caixa Econômica Federal a constituírem subsidiárias e a adquirirem participação em instituições financeiras sediadas no Brasil, e dá outras providências.","MPV44308",9,"Comissão Medida Provisória","MPV44308"
"1049",100678,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100678","SBA","Sociedade Beneficente de Anchieta","",70000,"Sociedade Civil",""
"1050",100681,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100681","MPV44408","Autoriza o Poder Executivo a doar estoques públicos de alimentos à República de Cuba, à República do Haiti, à República de Honduras e à Jamaica.","MPV44408",9,"Comissão Medida Provisória","MPV44408"
"1051",100682,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100682","MPV44508","Dispõe sobre a dispensa de recolhimento de parte dos dividendos e juros sobre capital próprio pela Caixa Econômica Federal.","MPV44508",9,"Comissão Medida Provisória","MPV44508"
"1052",100683,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100683","MPV44608","Dispõe sobre a certificação das entidades beneficentes de assistência social, regula os procedimentos de isenção de contribuições para a seguridade social, e dá outras providências.","MPV44608",9,"Comissão Medida Provisória","MPV44608"
"1053",100684,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100684","ABRACE","Associação  Brasileira de Grandes Consumidores Industriais de Energia e de Consumidores Livres","",70000,"Sociedade Civil",""
"1054",100685,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100685","UNICA","União da indústria de Cana-de- Açúcar","",70000,"Sociedade Civil",""
"1055",100686,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100686","MPV44708","Altera a Medida Provisória no 2.158-35, de 24 de agosto de 2001, a Lei no 10.637, de 30 de dezembro de 2002, a Lei no 10.833, de 29 de dezembro de 2003, a Lei no 8.383, de 30 de dezembro de 1991, a Lei no 11.196, de 21 de novembro de 2005, a Lei no 8.212, de 24 de julho de 1991, e a Lei no 10.666, de 8 de maio de 2003, para alterar o prazo de pagamento dos impostos e contribuições federais que especifica.","MPV44708",9,"Comissão Medida Provisória","MPV44708"
"1056",100687,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100687","APMM","Associação dos Pescadores do Município de Mamanguape","",70000,"Sociedade Civil",""
"1057",100688,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100688","MPV44808","Abre crédito extraordinário, em favor da Presidência da República e dos Ministérios da Saúde, dos Transportes, da Defesa e da Integração Nacional, no valor global de R$ 1.600.000.000,00, para os fins que especifica","MPV44808",9,"Comissão Medida Provisória","MPV44808"
"1058",100689,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100689","MPV44908","Altera a legislação tributária federal relativa ao parcelamento ordinário de débitos tributários, concede remissão nos casos em que especifica, institui regime tributário de transição, e dá outras providências.","MPV44908",9,"Comissão Medida Provisória","MPV44908"
"1059",100690,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100690","MPV45008","Autoriza a União a participar de Fundo de Garantia a Empreendimentos de Energia Elétrica - FGEE; altera o § 4o do art. 1o da Lei no 11.805, de 6 de novembro de 2008; dispõe sobre a utilização do excesso de arrecadação e do superávit financeiro das fontes de recursos existentes no Tesouro Nacional; altera o art. 1o da Lei no 10.841, de 18 de fevereiro de 2004; e autoriza a União a repassar ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES recursos captados junto ao Banco Internacional para a Reconstrução e o Desenvolvimento - BIRD.","MPV45008",9,"Comissão Medida Provisória","MPV45008"
"1060",100691,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100691","MPV45108","Altera a legislação tributária federal, e dá outras providências.","MPV45108",9,"Comissão Medida Provisória","MPV45108"
"1061",100692,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100692","ANFIP","Associação Nacional dos Auditores Fiscais da Receita Federal do Brasil","2015 a 2017",70000,"Sociedade Civil","2015 a 2017"
